gameId,GAME_DATE,HOME_TEAM_ABBREVIATION,HOME_TEAM_PTS,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_PTS
0022300062,2023-10-24,GSW,104,PHX,108
0022300061,2023-10-24,DEN,119,LAL,107
0022300063,2023-10-25,CHA,116,ATL,110
0022300072,2023-10-25,UTA,114,SAC,130
0022300070,2023-10-25,CHI,104,OKC,124
0022300069,2023-10-25,TOR,97,MIN,94
0022300064,2023-10-25,IND,143,WAS,120
0022300071,2023-10-25,MEM,104,NOP,111
0022300065,2023-10-25,NYK,104,BOS,108
0022300067,2023-10-25,BKN,113,CLE,114
0022300073,2023-10-25,SAS,119,DAL,126
0022300068,2023-10-25,MIA,103,DET,102
0022300074,2023-10-25,LAC,123,POR,111
0022300066,2023-10-25,ORL,116,HOU,86
0022300076,2023-10-26,LAL,100,PHX,95
0022300075,2023-10-26,MIL,118,PHI,117
0022300087,2023-10-27,SAC,114,GSW,122
0022300077,2023-10-27,CHA,99,DET,111
0022300081,2023-10-27,CLE,105,OKC,108
0022300082,2023-10-27,CHI,104,TOR,103
0022300079,2023-10-27,ATL,120,NYK,126
0022300078,2023-10-27,MEM,104,DEN,108
0022300083,2023-10-27,SAS,126,HOU,122
0022300086,2023-10-27,POR,97,ORL,102
0022300084,2023-10-27,DAL,125,BKN,120
0022300080,2023-10-27,BOS,119,MIA,111
0022300085,2023-10-27,UTA,120,LAC,118
0022300090,2023-10-28,NOP,96,NYK,87
0022300091,2023-10-28,CLE,113,IND,125
0022300088,2023-10-28,DET,118,CHI,102
0022300089,2023-10-28,WAS,113,MEM,106
0022300094,2023-10-28,PHX,126,UTA,104
0022300092,2023-10-28,TOR,107,PHI,114
0022300093,2023-10-28,MIN,106,MIA,90
0022300100,2023-10-29,SAC,132,LAL,127
0022300095,2023-10-29,OKC,95,DEN,128
0022300099,2023-10-29,LAC,123,SAS,83
0022300096,2023-10-29,HOU,95,GSW,106
0022300097,2023-10-29,MIL,110,ATL,127
0022300098,2023-10-29,PHI,126,POR,98
0022300110,2023-10-30,DEN,110,UTA,102
0022300103,2023-10-30,WAS,107,BOS,126
0022300108,2023-10-30,NOP,102,GSW,130
0022300102,2023-10-30,IND,105,CHI,112
0022300104,2023-10-30,ATL,127,MIN,113
0022300101,2023-10-30,CHA,121,BKN,133
0022300109,2023-10-30,OKC,124,DET,112
0022300105,2023-10-30,TOR,91,POR,99
0022300106,2023-10-30,MEM,110,DAL,125
0022300111,2023-10-30,LAL,106,ORL,103
0022300107,2023-10-30,MIL,122,MIA,114
0022300112,2023-10-31,CLE,91,NYK,109
0022300114,2023-10-31,LAC,118,ORL,102
0022300113,2023-10-31,PHX,114,SAS,115
0022300117,2023-11-01,ATL,130,WAS,121
0022300119,2023-11-01,MIA,105,BKN,109
0022300121,2023-11-01,OKC,106,NOP,110
0022300116,2023-11-01,TOR,130,MIL,111
0022300124,2023-11-01,DAL,114,CHI,105
0022300115,2023-11-01,DET,101,POR,110
0022300126,2023-11-01,GSW,102,SAC,101
0022300125,2023-11-01,UTA,133,MEM,109
0022300122,2023-11-01,HOU,128,CHA,119
0022300120,2023-11-01,NYK,89,CLE,95
0022300127,2023-11-01,LAL,130,LAC,125
0022300123,2023-11-01,MIN,110,DEN,89
0022300118,2023-11-01,BOS,155,IND,104
0022300131,2023-11-02,PHX,121,SAS,132
0022300130,2023-11-02,UTA,113,ORL,115
0022300129,2023-11-02,NOP,125,DET,116
0022300128,2023-11-02,PHI,114,TOR,99
0022300006,2023-11-03,DEN,125,DAL,114
0022300004,2023-11-03,CHI,107,BKN,109
0022300003,2023-11-03,MIA,121,WAS,114
0022300002,2023-11-03,MIL,110,NYK,105
0022300007,2023-11-03,POR,115,MEM,113
0022300005,2023-11-03,OKC,139,GSW,141
0022300001,2023-11-03,IND,121,CLE,116
0022300137,2023-11-04,HOU,107,SAC,89
0022300138,2023-11-04,MIN,123,UTA,95
0022300135,2023-11-04,NOP,105,ATL,123
0022300134,2023-11-04,ORL,120,LAL,101
0022300133,2023-11-04,IND,124,CHA,125
0022300139,2023-11-04,DEN,123,CHI,101
0022300132,2023-11-04,PHI,112,PHX,100
0022300136,2023-11-04,BKN,114,BOS,124
0022300143,2023-11-05,DAL,124,CHA,118
0022300140,2023-11-05,DET,106,PHX,120
0022300141,2023-11-05,SAS,116,TOR,123
0022300144,2023-11-05,POR,100,MEM,112
0022300142,2023-11-05,CLE,115,GSW,104
0022300151,2023-11-06,NYK,111,LAC,97
0022300148,2023-11-06,PHI,146,WAS,128
0022300149,2023-11-06,BKN,125,MIL,129
0022300146,2023-11-06,IND,152,SAS,111
0022300153,2023-11-06,HOU,122,SAC,97
0022300155,2023-11-06,OKC,126,ATL,117
0022300147,2023-11-06,ORL,102,DAL,117
0022300145,2023-11-06,DET,109,GSW,120
0022300152,2023-11-06,CHI,130,UTA,113
0022300156,2023-11-06,DEN,134,NOP,116
0022300154,2023-11-06,MIN,114,BOS,109
0022300150,2023-11-06,MIA,108,LAL,107
0022300163,2023-11-08,HOU,128,LAL,94
0022300167,2023-11-08,OKC,128,CLE,120
0022300159,2023-11-08,PHI,106,BOS,103
0022300170,2023-11-08,SAC,121,POR,118
0022300166,2023-11-08,MIN,122,NOP,101
0022300158,2023-11-08,IND,134,UTA,118
0022300168,2023-11-08,DAL,116,TOR,127
0022300164,2023-11-08,MEM,102,MIA,108
0022300157,2023-11-08,CHA,116,WAS,132
0022300169,2023-11-08,DEN,108,GSW,105
0022300165,2023-11-08,MIL,120,DET,118
0022300161,2023-11-08,NYK,126,SAS,105
0022300162,2023-11-08,CHI,115,PHX,116
0022300160,2023-11-08,BKN,100,LAC,93
0022300171,2023-11-09,IND,126,MIL,124
0022300172,2023-11-09,ORL,119,ATL,120
0022300013,2023-11-10,SAS,110,MIN,117
0022300008,2023-11-10,DET,106,PHI,114
0022300009,2023-11-10,WAS,117,CHA,124
0022300014,2023-11-10,DAL,144,LAC,126
0022300011,2023-11-10,HOU,104,NOP,101
0022300016,2023-11-10,SAC,105,OKC,98
0022300012,2023-11-10,MEM,121,UTA,127
0022300015,2023-11-10,PHX,119,LAL,122
0022300010,2023-11-10,BOS,121,BKN,107
0022300176,2023-11-11,GSW,110,CLE,118
0022300174,2023-11-11,BOS,117,TOR,94
0022300173,2023-11-11,ORL,112,MIL,97
0022300175,2023-11-11,ATL,109,MIA,117
0022300177,2023-11-12,NYK,129,CHA,107
0022300185,2023-11-12,PHX,99,OKC,111
0022300178,2023-11-12,BKN,102,WAS,94
0022300184,2023-11-12,SAS,113,MIA,118
0022300186,2023-11-12,GSW,110,MIN,116
0022300180,2023-11-12,PHI,137,IND,126
0022300179,2023-11-12,LAC,101,MEM,105
0022300182,2023-11-12,HOU,107,DEN,104
0022300187,2023-11-12,LAL,116,POR,110
0022300183,2023-11-12,NOP,124,DAL,136
0022300181,2023-11-12,CHI,119,DET,108
0022300188,2023-11-13,BOS,114,NYK,98
0022300189,2023-11-13,TOR,111,WAS,107
0022300190,2023-11-13,MIL,118,CHI,109
0022300191,2023-11-13,SAC,132,CLE,120
0022300025,2023-11-14,GSW,101,MIN,104
0022300022,2023-11-14,NOP,131,DAL,110
0022300026,2023-11-14,LAL,134,MEM,107
0022300017,2023-11-14,CHA,105,MIA,111
0022300018,2023-11-14,DET,120,ATL,126
0022300019,2023-11-14,PHI,126,IND,132
0022300020,2023-11-14,BKN,124,ORL,104
0022300021,2023-11-14,OKC,123,SAS,87
0022300024,2023-11-14,DEN,111,LAC,108
0022300023,2023-11-14,UTA,115,POR,99
0022300198,2023-11-15,LAL,110,SAC,125
0022300192,2023-11-15,WAS,117,DAL,130
0022300196,2023-11-15,CHI,94,ORL,96
0022300194,2023-11-15,PHI,107,BOS,117
0022300193,2023-11-15,ATL,114,NYK,116
0022300195,2023-11-15,TOR,112,MIL,128
0022300199,2023-11-15,POR,95,CLE,109
0022300197,2023-11-15,PHX,133,MIN,115
0022300200,2023-11-16,MIA,122,BKN,115
0022300201,2023-11-16,GSW,109,OKC,128
0022300034,2023-11-17,NOP,115,DEN,110
0022300030,2023-11-17,CLE,108,DET,100
0022300035,2023-11-17,UTA,128,PHX,131
0022300032,2023-11-17,SAS,120,SAC,129
0022300033,2023-11-17,CHI,97,ORL,103
0022300029,2023-11-17,ATL,116,PHI,126
0022300027,2023-11-17,CHA,99,MIL,130
0022300028,2023-11-17,WAS,99,NYK,120
0022300031,2023-11-17,TOR,105,BOS,108
0022300037,2023-11-17,LAC,106,HOU,100
0022300036,2023-11-17,POR,95,LAL,107
0022300206,2023-11-18,SAS,108,MEM,120
0022300207,2023-11-18,GSW,123,OKC,130
0022300203,2023-11-18,NOP,120,MIN,121
0022300202,2023-11-18,CHA,108,NYK,122
0022300205,2023-11-18,MIL,132,DAL,125
0022300204,2023-11-18,CHI,102,MIA,97
0022300213,2023-11-19,MEM,100,BOS,102
0022300215,2023-11-19,POR,91,OKC,134
0022300209,2023-11-19,IND,116,ORL,128
0022300211,2023-11-19,TOR,142,DET,113
0022300216,2023-11-19,LAL,105,HOU,104
0022300212,2023-11-19,DAL,113,SAC,129
0022300208,2023-11-19,BKN,99,PHI,121
0022300210,2023-11-19,CLE,121,DEN,109
0022300214,2023-11-19,UTA,137,PHX,140
0022300219,2023-11-20,WAS,129,MIL,142
0022300217,2023-11-20,CHA,121,BOS,118
0022300223,2023-11-20,SAS,99,LAC,124
0022300221,2023-11-20,MIN,117,NYK,100
0022300224,2023-11-20,GSW,121,HOU,116
0022300220,2023-11-20,CHI,100,MIA,118
0022300218,2023-11-20,DET,103,DEN,107
0022300222,2023-11-20,NOP,129,SAC,93
0022300038,2023-11-21,ORL,126,TOR,107
0022300040,2023-11-21,PHI,119,CLE,122
0022300041,2023-11-21,PHX,120,POR,107
0022300042,2023-11-21,LAL,131,UTA,99
0022300039,2023-11-21,ATL,152,IND,157
0022300238,2023-11-22,LAL,101,DAL,104
0022300237,2023-11-22,POR,121,UTA,105
0022300232,2023-11-22,MIN,112,PHI,99
0022300236,2023-11-22,PHX,123,GSW,115
0022300225,2023-11-22,CHA,117,WAS,114
0022300230,2023-11-22,IND,131,TOR,132
0022300233,2023-11-22,NOP,117,SAC,112
0022300234,2023-11-22,OKC,116,CHI,102
0022300229,2023-11-22,CLE,96,MIA,129
0022300231,2023-11-22,HOU,111,MEM,91
0022300226,2023-11-22,ORL,124,DEN,119
0022300227,2023-11-22,ATL,147,BKN,145
0022300228,2023-11-22,BOS,119,MIL,116
0022300235,2023-11-22,SAS,102,LAC,109
0022300052,2023-11-24,LAC,106,NOP,116
0022300049,2023-11-24,MIL,131,WAS,128
0022300046,2023-11-24,TOR,121,CHI,108
0022300051,2023-11-24,GSW,118,SAS,112
0022300043,2023-11-24,ORL,113,BOS,96
0022300048,2023-11-24,HOU,105,DEN,86
0022300047,2023-11-24,IND,136,DET,113
0022300044,2023-11-24,MEM,89,PHX,110
0022300045,2023-11-24,NYK,100,MIA,98
0022300050,2023-11-24,MIN,111,SAC,124
0022300242,2023-11-25,CLE,115,LAL,121
0022300244,2023-11-25,LAC,107,DAL,88
0022300241,2023-11-25,WAS,108,ATL,136
0022300240,2023-11-25,BKN,112,MIA,97
0022300239,2023-11-25,OKC,123,PHI,127
