gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
22400241,1610612745,Houston,Rockets,HOU,rockets,240:00,19.78,30,76,105,399,5,3,262,34,23,42,0.548,32,63,0.508,0.524,13,30,0.433
22400240,1610612752,New York,Knicks,NYK,knicks,240:00,17.65,24,52,71,414,5,0,300,33,13,29,0.448,30,59,0.508,0.489,9,19,0.474
22400240,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.17,24,51,72,393,4,2,286,31,8,24,0.333,24,51,0.471,0.421,14,21,0.667
22400242,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.29,16,47,61,406,7,5,286,29,17,26,0.654,26,61,0.426,0.494,16,29,0.552
22400242,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17.73,34,50,79,409,2,2,284,18,21,43,0.488,19,41,0.463,0.476,16,25,0.64
22400251,1610612746,LA,Clippers,LAC,clippers,240:00,18.05,22,61,80,407,2,3,293,29,12,37,0.324,23,45,0.511,0.427,18,26,0.692
22400251,1610612744,Golden State,Warriors,GSW,warriors,240:00,19.01,29,62,90,436,6,2,313,27,21,40,0.525,16,44,0.364,0.44,11,21,0.524
22400250,1610612758,Sacramento,Kings,SAC,kings,240:00,19.19,27,58,82,443,3,2,326,24,12,26,0.462,25,59,0.424,0.435,16,25,0.64
22400250,1610612737,Atlanta,Hawks,ATL,hawks,240:00,18.82,19,47,65,405,6,3,288,34,16,33,0.485,23,50,0.46,0.47,9,16,0.563
22400249,1610612756,Phoenix,Suns,PHX,suns,240:00,17.65,39,46,81,414,2,3,294,25,10,25,0.4,25,58,0.431,0.422,20,25,0.8
22400249,1610612753,Orlando,Magic,ORL,magic,240:00,17.71,22,50,69,394,2,2,287,28,17,27,0.63,22,49,0.449,0.513,14,22,0.636
22400248,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,17.56,14,70,83,359,6,0,248,21,15,32,0.469,23,51,0.451,0.458,24,35,0.686
22400248,1610612745,Houston,Rockets,HOU,rockets,240:00,18.1,36,58,93,383,2,0,257,19,17,39,0.436,23,60,0.383,0.4,14,22,0.636
22400245,1610612748,Miami,Heat,MIA,heat,240:00,18.64,21,57,77,437,3,4,318,26,14,28,0.5,22,59,0.373,0.414,17,26,0.654
22400245,1610612755,Philadelphia,76ers,PHI,sixers,240:00,17.79,13,57,70,395,2,1,280,25,18,27,0.667,17,57,0.298,0.417,14,23,0.609
22400247,1610612761,Toronto,Raptors,TOR,raptors,240:00,20.07,27,59,84,429,1,3,300,27,24,39,0.615,24,43,0.558,0.585,22,29,0.759
22400247,1610612754,Indiana,Pacers,IND,pacers,240:00,19.59,32,34,63,492,3,5,364,29,15,33,0.455,29,66,0.439,0.444,25,34,0.735
22400246,1610612752,New York,Knicks,NYK,knicks,240:00,18.25,20,53,70,425,2,2,310,37,16,35,0.457,35,56,0.625,0.56,18,29,0.621
22400246,1610612764,Washington,Wizards,WAS,wizards,240:00,18.5,18,47,65,370,4,2,256,23,20,33,0.606,23,58,0.397,0.473,19,25,0.76
22400244,1610612765,Detroit,Pistons,DET,pistons,240:00,18.08,36,51,85,423,5,4,298,27,20,43,0.465,22,55,0.4,0.429,12,22,0.545
22400244,1610612741,Chicago,Bulls,CHI,bulls,240:00,18.19,21,64,81,431,5,1,311,28,7,19,0.368,37,72,0.514,0.484,14,27,0.519
22400025,1610612759,San Antonio,Spurs,SAS,spurs,240:00,17.95,23,69,92,435,7,1,314,32,15,28,0.536,24,55,0.436,0.47,14,25,0.56
22400025,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.28,38,61,94,363,4,0,238,24,16,31,0.516,25,69,0.362,0.41,15,24,0.625
22400024,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,18.1,29,59,87,428,1,1,303,26,20,37,0.541,29,56,0.518,0.521,11,20,0.55
22400024,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.58,32,49,78,432,4,4,311,19,10,27,0.37,21,51,0.412,0.397,19,34,0.559
22400026,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,17.76,19,44,62,441,5,3,326,30,16,26,0.615,26,49,0.531,0.553,24,33,0.727
22400026,1610612762,Utah,Jazz,UTA,jazz,240:00,18.52,25,45,68,399,2,1,279,28,23,40,0.575,22,50,0.44,0.5,19,26,0.731
22400023,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,20.28,48,61,103,462,5,3,317,24,23,46,0.5,18,57,0.316,0.398,23,38,0.605
22400023,1610612743,Denver,Nuggets,DEN,nuggets,240:00,19.04,33,73,100,416,3,1,278,29,23,41,0.561,25,59,0.424,0.48,23,40,0.575
22400022,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.31,22,46,67,467,1,2,344,31,14,30,0.467,28,55,0.509,0.494,11,23,0.478
22400022,1610612766,Charlotte,Hornets,CHA,hornets,240:00,18.21,25,56,79,382,2,4,257,25,10,29,0.345,28,53,0.528,0.463,19,31,0.613
22400021,1610612738,Boston,Celtics,BOS,celtics,240:00,17.26,24,47,70,386,4,2,271,32,11,26,0.423,33,60,0.55,0.512,20,27,0.741
22400021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,17.83,25,50,72,345,4,2,229,30,20,35,0.571,26,58,0.448,0.495,13,26,0.5
22400255,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.17,23,60,82,436,4,2,312,29,11,26,0.423,30,59,0.508,0.482,15,26,0.577
22400255,1610612755,Philadelphia,76ers,PHI,sixers,240:00,18.43,28,57,85,390,6,6,268,21,16,32,0.5,23,55,0.418,0.448,9,16,0.563
22400253,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,17.8,16,54,69,397,4,2,287,30,18,27,0.667,26,53,0.491,0.55,9,14,0.643
22400253,1610612741,Chicago,Bulls,CHI,bulls,240:00,18.16,19,42,57,422,5,0,305,25,8,17,0.471,33,71,0.465,0.466,20,26,0.769
22400254,1610612745,Houston,Rockets,HOU,rockets,240:00,19.16,30,50,77,404,3,5,267,25,22,46,0.478,25,56,0.446,0.461,28,35,0.8
22400254,1610612754,Indiana,Pacers,IND,pacers,240:00,19.87,12,57,65,424,1,3,304,19,21,36,0.583,23,47,0.489,0.53,21,36,0.583
22400256,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.08,35,55,85,443,2,2,316,24,18,35,0.514,22,56,0.393,0.44,15,28,0.536
22400256,1610612757,Portland,Trail Blazers,POR,blazers,240:00,18.35,34,59,92,390,2,4,266,18,15,34,0.441,17,45,0.378,0.405,18,29,0.621
22400257,1610612756,Phoenix,Suns,PHX,suns,240:00,18.03,18,42,59,429,4,2,309,30,13,26,0.5,31,65,0.477,0.489,18,23,0.783
22400257,1610612752,New York,Knicks,NYK,knicks,240:00,18.06,15,50,62,389,6,2,268,30,20,27,0.741,30,59,0.508,0.581,13,17,0.765
22400258,1610612744,Golden State,Warriors,GSW,warriors,240:00,20.03,30,69,96,508,8,3,373,36,18,41,0.439,29,60,0.483,0.465,11,28,0.393
22400258,1610612737,Atlanta,Hawks,ATL,hawks,240:00,19.44,38,65,99,449,4,4,308,27,14,44,0.318,21,61,0.344,0.333,27,40,0.675
22400259,1610612746,LA,Clippers,LAC,clippers,240:00,17.46,28,46,73,391,2,1,270,22,14,37,0.378,23,39,0.59,0.494,17,25,0.68
22400259,1610612753,Orlando,Magic,ORL,magic,240:00,17.49,19,44,62,365,0,1,257,21,12,21,0.571,21,54,0.389,0.44,13,22,0.591
22400252,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,17.82,30,52,77,396,3,0,278,29,22,35,0.629,27,58,0.466,0.527,19,39,0.487
22400252,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.33,30,49,78,410,3,3,288,23,21,41,0.512,18,51,0.353,0.424,19,28,0.679
22400260,1610612766,Charlotte,Hornets,CHA,hornets,265:00,20.1,22,61,81,423,4,0,289,23,17,32,0.531,27,61,0.443,0.473,13,24,0.542
