gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
22400061,1610612738,Boston,Celtics,BOS,celtics,240:00,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,6,3,3,15,132,23.0
22400061,1610612752,New York,Knicks,NYK,knicks,240:00,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,11,12,109,-23.0
22400071,1610612746,LA,Clippers,LAC,clippers,265:00,42,92,0.457,8,29,0.276,21,30,0.7,13,38,51,27,9,1,21,29,113,-3.0
22400071,1610612756,Phoenix,Suns,PHX,suns,265:00,38,78,0.487,15,38,0.395,25,34,0.735,4,38,42,25,12,9,22,23,116,3.0
22400070,1610612762,Utah,Jazz,UTA,jazz,240:00,40,85,0.471,10,26,0.385,34,45,0.756,14,35,49,21,7,9,14,24,124,-2.0
22400070,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,43,91,0.473,17,45,0.378,23,32,0.719,13,28,41,28,7,5,12,35,126,2.0
22400068,1610612745,Houston,Rockets,HOU,rockets,240:00,38,103,0.369,13,43,0.302,16,20,0.8,16,27,43,19,8,4,8,18,105,-5.0
22400068,1610612766,Charlotte,Hornets,CHA,hornets,240:00,38,85,0.447,15,39,0.385,19,24,0.792,15,41,56,20,6,10,16,21,110,5.0
22400069,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,45,97,0.464,14,37,0.378,19,21,0.905,7,35,42,29,15,10,11,17,123,12.0
22400069,1610612741,Chicago,Bulls,CHI,bulls,240:00,42,86,0.488,10,34,0.294,17,25,0.68,9,38,47,26,4,2,21,16,111,-12.0
22400065,1610612748,Miami,Heat,MIA,heat,240:00,32,82,0.39,11,34,0.324,22,29,0.759,9,32,41,24,5,8,11,19,97,-19.0
22400065,1610612753,Orlando,Magic,ORL,magic,240:00,41,96,0.427,18,49,0.367,16,22,0.727,18,39,57,28,8,8,11,21,116,19.0
22400072,1610612757,Portland,Trail Blazers,POR,blazers,240:00,36,92,0.391,8,34,0.235,24,30,0.8,13,29,42,21,10,4,17,22,104,-36.0
22400072,1610612744,Golden State,Warriors,GSW,warriors,240:00,48,93,0.516,20,48,0.417,24,30,0.8,15,42,57,38,13,5,17,27,140,36.0
22400067,1610612761,Toronto,Raptors,TOR,raptors,240:00,36,86,0.419,12,31,0.387,22,29,0.759,14,24,38,25,8,6,18,24,106,-30.0
22400067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,51,87,0.586,14,30,0.467,20,26,0.769,8,28,36,29,10,9,12,22,136,30.0
22400064,1610612737,Atlanta,Hawks,ATL,hawks,240:00,39,80,0.487,9,28,0.321,33,46,0.717,12,33,45,25,12,9,16,20,120,4.0
22400064,1610612751,Brooklyn,Nets,BKN,nets,240:00,40,91,0.44,17,43,0.395,19,25,0.76,12,31,43,21,8,6,17,32,116,-4.0
22400063,1610612765,Detroit,Pistons,DET,pistons,240:00,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,12,21,109,-6.0
22400063,1610612754,Indiana,Pacers,IND,pacers,240:00,42,83,0.506,9,31,0.29,22,25,0.88,7,32,39,32,10,8,15,23,115,6.0
22400066,1610612755,Philadelphia,76ers,PHI,sixers,240:00,41,98,0.418,8,31,0.258,19,27,0.704,17,32,49,18,4,2,10,28,109,-15.0
22400066,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,43,80,0.537,16,37,0.432,22,31,0.71,8,38,46,27,4,9,14,23,124,15.0
22400076,1610612758,Sacramento,Kings,SAC,kings,240:00,38,82,0.463,11,29,0.379,28,35,0.8,4,34,38,21,7,2,9,18,115,-2.0
22400076,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,41,86,0.477,20,50,0.4,15,17,0.882,6,36,42,24,3,2,16,24,117,2.0
22400074,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,42,102,0.412,19,44,0.432,17,23,0.739,17,33,50,27,9,5,9,21,120,11.0
