gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
22300168,1610612761,Toronto,Raptors,TOR,raptors,240.000000:00,127,32,13,19,15,0,14,33,3,5,8,5,9,14,7,14
22300160,1610612751,Brooklyn,Nets,BKN,nets,240.000000:00,100,56,31,25,18,0,11,27,6,5,11,1,7,8,5,8
22300160,1610612746,LA,Clippers,LAC,clippers,240.000000:00,93,57,35,22,13,1,9,19,4,8,12,1,8,9,2,9
22300166,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,122,52,41,11,12,0,7,16,1,5,6,3,5,7,4,8
22300166,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,101,38,25,13,6,0,10,22,2,5,7,1,6,7,4,7
22300164,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,102,42,26,16,14,0,7,17,4,2,6,3,2,5,3,5
22300164,1610612748,Miami,Heat,MIA,heat,240.000000:00,108,44,30,14,15,2,6,15,4,4,8,0,6,5,2,6
22300167,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,128,48,30,18,18,0,5,10,1,3,4,0,7,6,2,7
22300167,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240.000000:00,120,49,37,12,14,1,5,10,3,4,7,1,3,4,1,4
22300158,1610612754,Indiana,Pacers,IND,pacers,240.000000:00,134,50,36,14,15,0,8,16,2,1,3,7,3,9,6,10
22300158,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,118,45,26,19,7,0,8,19,2,1,3,7,5,11,7,12
22300157,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,116,53,25,28,11,0,12,27,2,3,5,1,1,2,1,2
22300157,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,132,38,23,15,17,0,10,23,4,1,5,0,6,6,3,6
22300171,1610612754,Indiana,Pacers,IND,pacers,240.000000:00,126,52,33,19,14,0,7,17,5,4,9,0,8,8,4,8
22300171,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,124,47,25,22,14,1,8,16,2,2,4,1,3,4,3,4
22300172,1610612753,Orlando,Magic,ORL,magic,240.000000:00,119,51,25,26,20,0,5,11,2,4,6,0,4,4,3,4
22300172,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,120,44,32,12,23,3,8,20,3,3,6,1,5,6,4,6
22300016,1610612758,Sacramento,Kings,SAC,kings,240.000000:00,105,41,31,10,12,0,7,17,3,3,6,2,3,5,2,5
22300016,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,98,54,32,22,18,0,4,9,3,2,5,0,5,5,3,5
22300011,1610612745,Houston,Rockets,HOU,rockets,240.000000:00,104,47,32,15,16,0,13,23,2,4,6,1,6,7,3,7
22300011,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,101,57,35,22,12,0,11,25,5,3,8,1,8,9,5,9
22300015,1610612756,Phoenix,Suns,PHX,suns,240.000000:00,119,38,25,13,19,2,13,28,6,1,7,2,2,4,3,4
22300015,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,122,51,31,20,21,0,12,21,2,4,6,1,4,5,2,5
22300014,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,144,36,26,10,10,1,9,23,8,2,10,3,2,5,5,5
22300014,1610612746,LA,Clippers,LAC,clippers,240.000000:00,126,40,21,19,13,0,8,16,6,3,9,7,5,11,8,12
22300013,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,110,48,33,15,17,0,6,14,3,2,5,1,9,4,3,10
22300013,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,117,54,35,19,11,0,10,22,2,2,4,2,12,9,3,14
22300009,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,117,48,33,15,11,0,13,31,1,1,2,3,4,7,6,7
22300009,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,124,46,21,25,14,0,10,21,5,3,8,5,2,7,6,7
22300012,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,121,48,18,30,16,1,15,36,3,1,4,4,6,10,5,10
22300012,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,127,55,30,25,15,0,10,25,3,2,5,0,4,3,0,4
22300010,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,121,53,33,20,12,0,1,3,3,3,6,2,3,4,3,5
22300010,1610612751,Brooklyn,Nets,BKN,nets,240.000000:00,107,55,24,31,14,1,10,21,5,4,9,1,12,11,4,13
22300008,1610612765,Detroit,Pistons,DET,pistons,240.000000:00,106,45,31,14,15,1,6,13,7,1,8,6,3,8,7,9
22300008,1610612755,Philadelphia,76ers,PHI,sixers,240.000000:00,114,44,30,14,33,0,6,14,3,6,9,3,5,7,4,8
