gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
22400061,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,132,33,19,14,16,0,13,35,1,0,1,1,3,4,1,4
22400061,1610612752,New York,Knicks,NYK,knicks,240.000000:00,109,43,17,26,13,1,15,33,2,2,4,2,4,6,5,6
22400062,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,110,39,18,21,14,1,6,14,1,2,3,0,7,7,3,7
22400062,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,103,40,30,10,14,0,6,13,3,2,5,1,3,4,3,4
22400071,1610612746,LA,Clippers,LAC,clippers,265.000000:00,113,20,12,8,23,0,11,26,2,0,2,0,2,2,1,2
22400071,1610612756,Phoenix,Suns,PHX,suns,265.000000:00,116,43,28,15,12,0,7,17,1,3,4,1,4,5,3,5
22400070,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,124,32,17,15,8,1,9,22,4,2,6,1,5,6,5,6
22400070,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,126,34,23,11,18,0,5,13,2,2,4,2,3,5,5,5
22400068,1610612745,Houston,Rockets,HOU,rockets,240.000000:00,105,32,20,12,16,0,15,35,6,2,8,0,8,8,6,8
22400068,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,110,45,31,14,8,0,16,38,2,3,5,2,5,7,3,7
22400069,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,123,28,17,11,23,1,15,36,3,2,5,0,0,0,0,0
22400069,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,111,26,19,7,10,0,11,22,0,2,2,0,9,9,5,9
22400065,1610612748,Miami,Heat,MIA,heat,240.000000:00,97,27,17,10,9,0,3,8,4,2,6,0,5,4,1,5
22400065,1610612753,Orlando,Magic,ORL,magic,240.000000:00,116,27,19,8,13,1,7,18,3,1,4,1,1,2,1,2
22400072,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,104,15,6,9,12,2,6,13,3,3,6,0,0,0,0,0
22400072,1610612744,Golden State,Warriors,GSW,warriors,240.000000:00,140,39,25,14,24,2,7,21,3,3,6,2,5,7,6,7
22400067,1610612761,Toronto,Raptors,TOR,raptors,240.000000:00,106,38,28,10,14,0,10,22,4,1,5,3,5,8,3,8
22400067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240.000000:00,136,40,28,12,13,1,11,27,6,5,11,0,4,4,1,4
22400064,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,120,44,28,16,21,0,7,17,2,2,4,3,3,6,6,6
22400064,1610612751,Brooklyn,Nets,BKN,nets,240.000000:00,116,29,16,13,13,0,7,16,5,4,9,0,2,2,1,2
22400063,1610612765,Detroit,Pistons,DET,pistons,240.000000:00,109,47,30,17,8,0,12,29,3,4,7,4,5,9,7,9
22400063,1610612754,Indiana,Pacers,IND,pacers,240.000000:00,115,46,33,13,18,1,6,13,6,6,12,0,5,4,2,5
22400066,1610612755,Philadelphia,76ers,PHI,sixers,240.000000:00,109,32,15,17,15,0,10,22,0,2,2,1,5,6,1,6
22400066,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,124,52,40,12,12,1,8,20,2,2,4,0,5,5,3,5
22400076,1610612758,Sacramento,Kings,SAC,kings,240.000000:00,115,38,19,19,11,2,6,12,4,3,7,2,3,4,2,5
22400076,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,117,42,28,14,7,0,12,31,1,0,1,1,4,5,4,5
22400074,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,120,38,26,12,21,0,13,32,5,6,11,2,9,11,6,11
22400074,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,109,47,30,17,16,0,5,11,5,6,11,1,6,7,3,7
22400073,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,102,39,24,15,11,0,9,20,4,0,4,1,4,5,5,5
22400073,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,122,28,17,11,19,0,9,26,1,1,2,1,2,3,2,3
22400075,1610612743,Denver,Nuggets,DEN,nuggets,240.000000:00,87,30,21,9,12,0,3,7,3,3,6,2,1,3,3,3
22400075,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,102,37,26,11,16,0,2,4,1,2,3,1,7,7,3,8
22400084,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,86,29,19,10,14,0,7,18,4,2,6,0,2,2,2,2
22400084,1610612744,Golden State,Warriors,GSW,warriors,240.000000:00,127,33,18,15,29,1,9,22,4,2,6,1,7,8,4,8
22400086,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,103,42,31,11,12,1,4,8,1,2,3,1,4,5,2,5
22400086,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,105,49,35,14,18,2,2,5,2,3,5,0,3,3,1,3
